Model,Macro F1,Accuracy,MEDIUM F1,MEDIUM Precision,MEDIUM Recall
N2 XGBoost Hybrid,0.5020061011386088,0.5034791252485089,0.47267565649396737,0.47301136363636365,0.4723404255319149
E06 Hybrid LogReg,0.49718068330698895,0.4995029821073559,0.4480234260614934,0.4629349470499244,0.4340425531914894
N3 RF Hybrid,0.49419163891306805,0.4955268389662028,0.44942196531791906,0.4580265095729013,0.44113475177304967
RF Structural,0.4818112828405226,0.4865805168986084,0.4899285250162443,0.4520383693045564,0.5347517730496454
N1 XGBoost Struct,0.4777762197920809,0.48061630218687873,0.4797385620915033,0.4448484848484848,0.5205673758865248
