split,period,samples,repositories,LOW_count,MEDIUM_count,HIGH_count,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc
temporal_test,2025-11,28,14,9,10,9,0.6428571428571429,0.6311612364243943,0.6264769065520944,0.6518518518518518,0.47960597766812424
temporal_test,2025-12,385,189,139,114,132,0.6519480519480519,0.6495014245014245,0.6537007437007437,0.6495234434461999,0.47814425655710724
temporal_test,2026-01,15,11,6,2,7,0.6,0.5,0.6444444444444444,0.4682539682539682,0.39471871210422066
temporal_test_ALL,2025-11 to 2026-01,428,205,154,126,148,0.6495327102803738,0.6459005346503385,0.6510898943972215,0.6457073957073957,0.4738622404548355
