Model,Accuracy,Macro F1,Weighted F1,Balanced Accuracy,MCC,Log Loss,ROC-AUC
B5 (E06 Hybrid),0.4995029821073559,0.49718068330698895,0.49778212332122856,0.4989231985054676,0.24858224229083697,1.008563282387682,0.684898442916256
B3 (RF Struct),0.4865805168986084,0.4818112828405226,0.4839393499676015,0.48259760086326264,0.22717407113781007,1.0205542134163268,0.6616577266117333
B1 (LogReg Struct),0.47813121272365805,0.4737556680215238,0.475558731961756,0.4752380093592017,0.2148116316675633,1.0384696957465775,0.6613483456353709
B4 (XGB Struct),0.4746520874751491,0.4733147692878035,0.47413919442196234,0.4737020054319399,0.21074397119780855,1.0901288494216368,0.6470574382039572
B2 (LogReg Text),0.474155069582505,0.47234378817691963,0.4733534004972072,0.47297192832001644,0.20993947418025932,0.9970444632624734,0.6816506578048331
B0 (Majority),0.3503976143141153,0.1729849098270151,0.18184049914718534,0.3333333333333333,0.0,23.414043230405618,0.5
