Model,Macro F1,Accuracy,MEDIUM Precision,MEDIUM Recall,MEDIUM F1
N2 XGBoost Hybrid (Best Classical),0.502,,,,0.4727
E06 Hybrid Logistic Regression,0.49718068330698895,0.4995029821073559,0.4629349470499244,0.4340425531914894,0.4480234260614934
T3 CodeBERT + Structure,0.46864036093023786,0.47664015904572565,0.4750830564784053,0.4056737588652482,0.43764345830145374
T1 CodeBERT + LR,0.4038943830261143,0.40407554671968193,0.40508221225710017,0.3843971631205674,0.39446870451237265
T2 CodeBERT + MLP,0.39974813656625363,0.4289264413518887,0.3989169675090253,0.6269503546099291,0.4875896304467733
