Experiment,Accuracy,Macro F1,Weighted F1,Balanced Accuracy,MCC,Log Loss,ROC-AUC
A1,0.47813121272365805,0.4737556680215238,0.475558731961756,0.4752380093592017,0.2148116316675633,1.0384696957465775,0.6613483456353709
A2,0.474155069582505,0.47234378817691963,0.4733534004972072,0.47297192832001644,0.20993947418025932,0.9970444632624734,0.6816506578048331
A3,0.4995029821073559,0.49718068330698895,0.49778212332122856,0.4989231985054676,0.24858224229083697,1.008563282387682,0.684898442916256
A4,0.4840954274353877,0.48275076133124845,0.4839170244725875,0.48300696690859884,0.22525318182298953,1.0233131631456267,0.6734245338674292
A5 (No Dependency),0.4985089463220676,0.4964358448570303,0.4968977723376785,0.49810620396450256,0.24713806191832133,1.0056254337750643,0.6848526549045711
A5 (No Complexity),0.49254473161033796,0.49029344227907606,0.4909254137959846,0.4918910385907127,0.2380309598814052,1.0079075753449755,0.6830376743196723
A5 (No Action),0.49502982107355864,0.49246285765008935,0.49311531587142055,0.494389918004297,0.24191134583655005,1.0089136537156222,0.6842670687342517
A5 (No Execution),0.4995029821073559,0.4971249988884623,0.4977840218613402,0.4989231985054676,0.24868850623787125,1.0070763966262366,0.6860940573384936
