Bin,Count,Accuracy,Avg Confidence,Error
0.33-0.50,1326,0.4374057315233786,0.4136801325783859,-0.02372559894499271
0.50-0.60,350,0.5228571428571429,0.5378660139826996,0.015008871125556711
0.60-0.70,113,0.6814159292035398,0.6487647900708452,-0.03265113913269457
0.70-0.80,139,0.6906474820143885,0.7335182500474352,0.04287076803304668
0.80-0.90,74,0.8783783783783784,0.8439912604579444,-0.03438711792043403
0.90-1.00,10,0.9,0.970930600857715,0.07093060085771496
