Bin,Count,Accuracy,Avg Confidence,Error
0.33-0.50,1098,0.4335154826958106,0.4287491,-0.004766368420831946
0.50-0.60,446,0.45739910313901344,0.54609233,0.0886932282704409
0.60-0.70,218,0.6238532110091743,0.6470891,0.023235912716716767
0.70-0.80,133,0.6691729323308271,0.7505043,0.0813313825686175
0.80-0.90,88,0.7954545454545454,0.84659487,0.051140324635939205
0.90-1.00,29,1.0,0.9336682,-0.06633180379867554
