Class,Precision,Recall,F1
LOW,0.5391891891891892,0.5833333333333334,0.5603932584269663
MEDIUM,0.46726190476190477,0.4453900709219858,0.4560639070442992
HIGH,0.485,0.46709470304975925,0.4758789860997547
